,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
247268,WRL ,WRL,World,2022-12-08,647763047.0,809033.0,6650549.0,3000.0
247267,WRL ,WRL,World,2022-12-07,646954014.0,635164.0,6647551.0,2174.0
246532,WRL ,WRL,World,2020-12-02,64673347.0,640226.0,1569653.0,12390.0
247266,WRL ,WRL,World,2022-12-06,646320810.0,624714.0,6645377.0,1736.0
247265,WRL ,WRL,World,2022-12-05,645696366.0,505349.0,6643641.0,1385.0
247264,WRL ,WRL,World,2022-12-04,645191017.0,257043.0,6642256.0,632.0
247263,WRL ,WRL,World,2022-12-03,644933979.0,299780.0,6641624.0,605.0
247262,WRL ,WRL,World,2022-12-02,644634199.0,761540.0,6641019.0,2341.0
247261,WRL ,WRL,World,2022-12-01,643873015.0,706190.0,6638678.0,2389.0
247260,WRL ,WRL,World,2022-11-30,643166825.0,535623.0,6636289.0,1628.0
247259,WRL ,WRL,World,2022-11-29,642631202.0,730686.0,6634661.0,1600.0
247258,WRL ,WRL,World,2022-11-28,641900516.0,405827.0,6633062.0,1177.0
247257,WRL ,WRL,World,2022-11-27,641494712.0,263398.0,6631885.0,588.0
247256,WRL ,WRL,World,2022-11-26,641231314.0,270564.0,6631297.0,509.0
247255,WRL ,WRL,World,2022-11-25,640960750.0,697919.0,6630788.0,2201.0
246349,WRL ,WRL,World,2020-06-02,6405109.0,123392.0,415190.0,5263.0
246531,WRL ,WRL,World,2020-12-01,64033121.0,614801.0,1557263.0,12450.0
247254,WRL ,WRL,World,2022-11-24,640262831.0,420335.0,6628587.0,1397.0
247253,WRL ,WRL,World,2022-11-23,639842496.0,590953.0,6627190.0,2105.0
247252,WRL ,WRL,World,2022-11-22,639251810.0,574232.0,6625085.0,1950.0
247251,WRL ,WRL,World,2022-11-21,638677578.0,341655.0,6623346.0,1125.0
247250,WRL ,WRL,World,2022-11-20,638335923.0,222405.0,6622221.0,589.0
247249,WRL ,WRL,World,2022-11-19,638113518.0,247329.0,6621632.0,492.0
247248,WRL ,WRL,World,2022-11-18,637866189.0,630459.0,6621140.0,2359.0
247247,WRL ,WRL,World,2022-11-17,637235730.0,479925.0,6618784.0,2043.0
247246,WRL ,WRL,World,2022-11-16,636756373.0,486221.0,6616743.0,2306.0
247245,WRL ,WRL,World,2022-11-15,636270152.0,503782.0,6614437.0,1488.0
247244,WRL ,WRL,World,2022-11-14,635766370.0,347860.0,6613374.0,1342.0
247243,WRL ,WRL,World,2022-11-13,635419811.0,183504.0,6612032.0,505.0
247242,WRL ,WRL,World,2022-11-12,635236307.0,242505.0,6611527.0,522.0
247241,WRL ,WRL,World,2022-11-11,634993802.0,488369.0,6611083.0,1706.0
247240,WRL ,WRL,World,2022-11-10,634505433.0,460457.0,6609377.0,2091.0
246530,WRL ,WRL,World,2020-11-30,63418320.0,506624.0,1544813.0,9048.0
247239,WRL ,WRL,World,2022-11-09,634045002.0,433970.0,6607286.0,2112.0
247238,WRL ,WRL,World,2022-11-08,633611032.0,450836.0,6605174.0,1271.0
247237,WRL ,WRL,World,2022-11-07,633160196.0,306116.0,6603903.0,1161.0
247236,WRL ,WRL,World,2022-11-06,632855546.0,186619.0,6602760.0,542.0
247235,WRL ,WRL,World,2022-11-05,632668927.0,201302.0,6602218.0,612.0
247234,WRL ,WRL,World,2022-11-04,632467625.0,444137.0,6601606.0,1975.0
247233,WRL ,WRL,World,2022-11-03,632023488.0,493635.0,6599631.0,2345.0
247232,WRL ,WRL,World,2022-11-02,631529853.0,348206.0,6597286.0,1584.0
247231,WRL ,WRL,World,2022-11-01,631181647.0,401678.0,6595703.0,2802.0
247230,WRL ,WRL,World,2022-10-31,630779969.0,300452.0,6592901.0,1220.0
247229,WRL ,WRL,World,2022-10-30,630479628.0,167315.0,6591681.0,603.0
247228,WRL ,WRL,World,2022-10-29,630312313.0,199095.0,6591078.0,665.0
247227,WRL ,WRL,World,2022-10-28,630113218.0,363508.0,6590413.0,1485.0
247226,WRL ,WRL,World,2022-10-27,629749710.0,477790.0,6588931.0,2122.0
247225,WRL ,WRL,World,2022-10-26,629278805.0,466894.0,6586809.0,2503.0
246529,WRL ,WRL,World,2020-11-29,62911696.0,495524.0,1535765.0,7657.0
247224,WRL ,WRL,World,2022-10-25,628811911.0,594965.0,6584306.0,2179.0
246348,WRL ,WRL,World,2020-06-01,6282364.0,100280.0,409927.0,3744.0
247223,WRL ,WRL,World,2022-10-24,628216946.0,386658.0,6582127.0,1403.0
247222,WRL ,WRL,World,2022-10-23,627830909.0,160796.0,6580809.0,593.0
247221,WRL ,WRL,World,2022-10-22,627670113.0,182335.0,6580216.0,619.0
247220,WRL ,WRL,World,2022-10-21,627487778.0,430593.0,6579597.0,2000.0
247219,WRL ,WRL,World,2022-10-20,627057185.0,595426.0,6577597.0,2202.0
247218,WRL ,WRL,World,2022-10-19,626461783.0,527833.0,6575396.0,2244.0
247217,WRL ,WRL,World,2022-10-18,625934804.0,629364.0,6573153.0,1847.0
247216,WRL ,WRL,World,2022-10-17,625306061.0,476548.0,6571306.0,1760.0
247215,WRL ,WRL,World,2022-10-16,624829513.0,192148.0,6569546.0,547.0
247214,WRL ,WRL,World,2022-10-15,624637365.0,218088.0,6568999.0,777.0
247213,WRL ,WRL,World,2022-10-14,624419277.0,477508.0,6568222.0,1714.0
246528,WRL ,WRL,World,2020-11-28,62416172.0,607472.0,1528108.0,9515.0
247212,WRL ,WRL,World,2022-10-13,623941769.0,662925.0,6566508.0,2107.0
247211,WRL ,WRL,World,2022-10-12,623278844.0,550103.0,6564401.0,1902.0
247210,WRL ,WRL,World,2022-10-11,622728741.0,690406.0,6562499.0,1907.0
247209,WRL ,WRL,World,2022-10-10,622038494.0,453684.0,6560592.0,1317.0
247208,WRL ,WRL,World,2022-10-09,621584810.0,218934.0,6559275.0,632.0
247207,WRL ,WRL,World,2022-10-08,621365876.0,219004.0,6558643.0,711.0
247206,WRL ,WRL,World,2022-10-07,621146872.0,574603.0,6557932.0,1795.0
247205,WRL ,WRL,World,2022-10-06,620572269.0,640624.0,6556137.0,2009.0
247204,WRL ,WRL,World,2022-10-05,619931645.0,582672.0,6554128.0,2190.0
247203,WRL ,WRL,World,2022-10-04,619348973.0,600240.0,6551942.0,1602.0
247202,WRL ,WRL,World,2022-10-03,618748733.0,319950.0,6550340.0,1364.0
247201,WRL ,WRL,World,2022-10-02,618428783.0,200809.0,6548976.0,564.0
247200,WRL ,WRL,World,2022-10-01,618228082.0,241028.0,6548412.0,669.0
246347,WRL ,WRL,World,2020-05-31,6182084.0,102859.0,406186.0,3289.0
246527,WRL ,WRL,World,2020-11-27,61808700.0,695305.0,1518593.0,11521.0
247199,WRL ,WRL,World,2022-09-30,617987054.0,472561.0,6547743.0,1472.0
247198,WRL ,WRL,World,2022-09-29,617514493.0,644152.0,6546271.0,2288.0
246224,WRL ,WRL,World,2020-01-29,6169.0,589.0,133.0,2.0
247197,WRL ,WRL,World,2022-09-28,616870341.0,549847.0,6543984.0,2341.0
247196,WRL ,WRL,World,2022-09-27,616320494.0,599538.0,6541643.0,1602.0
247195,WRL ,WRL,World,2022-09-26,615720956.0,422785.0,6540041.0,1376.0
247194,WRL ,WRL,World,2022-09-25,615298197.0,222900.0,6538665.0,507.0
247193,WRL ,WRL,World,2022-09-24,615075297.0,265146.0,6538158.0,835.0
247192,WRL ,WRL,World,2022-09-23,614810151.0,517770.0,6537323.0,1828.0
247191,WRL ,WRL,World,2022-09-22,614292381.0,619671.0,6535495.0,2195.0
247190,WRL ,WRL,World,2022-09-21,613672710.0,518153.0,6533300.0,2057.0
247189,WRL ,WRL,World,2022-09-20,613154557.0,553781.0,6531243.0,1829.0
247188,WRL ,WRL,World,2022-09-19,612600912.0,416971.0,6529414.0,1382.0
247187,WRL ,WRL,World,2022-09-18,612183941.0,254550.0,6528032.0,584.0
247186,WRL ,WRL,World,2022-09-17,611929391.0,295066.0,6527448.0,849.0
